client timestamp,button,state,x,y
9316,NoButton,Move,724,515
16200,NoButton,Move,725,515
16209,NoButton,Move,726,515
16214,NoButton,Move,726,516
16226,NoButton,Move,727,516
16291,NoButton,Move,727,517
16296,NoButton,Move,729,518
16308,NoButton,Move,730,519
16320,NoButton,Move,730,520
16338,NoButton,Move,731,520
16351,NoButton,Move,731,521
16357,NoButton,Move,731,522
16362,NoButton,Move,731,523
16369,NoButton,Move,731,524
16375,NoButton,Move,731,527
16381,NoButton,Move,731,530
16387,NoButton,Move,731,533
16393,NoButton,Move,731,537
16399,NoButton,Move,733,541
16405,NoButton,Move,734,545
16411,NoButton,Move,736,549
16417,NoButton,Move,737,553
16423,NoButton,Move,739,558
16429,NoButton,Move,740,563
16436,NoButton,Move,742,571
16442,NoButton,Move,745,579
16448,NoButton,Move,747,588
16453,NoButton,Move,750,599
16460,NoButton,Move,753,609
16466,NoButton,Move,756,622
16472,NoButton,Move,758,632
16478,NoButton,Move,759,642
16484,NoButton,Move,761,652
16490,NoButton,Move,761,659
16495,NoButton,Move,761,666
16502,NoButton,Move,762,673
16508,NoButton,Move,762,679
16514,NoButton,Move,762,684
16520,NoButton,Move,762,688
16526,NoButton,Move,762,692
16532,NoButton,Move,762,695
16538,NoButton,Move,762,697
16544,NoButton,Move,761,699
16550,NoButton,Move,759,701
16556,NoButton,Move,758,702
16563,NoButton,Move,757,703
16569,NoButton,Move,755,703
16575,NoButton,Move,754,704
16581,NoButton,Move,752,705
16586,NoButton,Move,751,705
16593,NoButton,Move,750,705
16599,NoButton,Move,749,706
16605,NoButton,Move,747,706
16611,NoButton,Move,746,708
16617,NoButton,Move,746,709
16624,NoButton,Move,745,711
16629,NoButton,Move,745,713
16635,NoButton,Move,745,715
16642,NoButton,Move,744,717
16647,NoButton,Move,743,719
16653,NoButton,Move,743,720
16659,NoButton,Move,742,720
16712,LeftButton,Pressed,742,720
16803,LeftButton,Released,742,720
17028,NoButton,Move,743,720
17029,NoButton,Move,744,720
17032,NoButton,Move,745,720
17036,NoButton,Move,746,720
17042,NoButton,Move,750,720
17048,NoButton,Move,755,720
17053,NoButton,Move,761,720
17059,NoButton,Move,768,720
17066,NoButton,Move,776,720
17072,NoButton,Move,786,720
17078,NoButton,Move,799,719
17084,NoButton,Move,813,719
17090,NoButton,Move,830,719
17096,NoButton,Move,849,718
17102,NoButton,Move,869,718
17108,NoButton,Move,890,718
17115,NoButton,Move,911,718
17120,NoButton,Move,932,718
17126,NoButton,Move,952,718
17132,NoButton,Move,969,718
17138,NoButton,Move,985,718
17144,NoButton,Move,997,718
17150,NoButton,Move,1008,718
17156,NoButton,Move,1017,718
17163,NoButton,Move,1026,718
17168,NoButton,Move,1032,718
17174,NoButton,Move,1041,719
17180,NoButton,Move,1048,719
17187,NoButton,Move,1053,720
17193,NoButton,Move,1061,720
17199,NoButton,Move,1068,720
17204,NoButton,Move,1074,720
17211,NoButton,Move,1079,719
17217,NoButton,Move,1083,718
17223,NoButton,Move,1087,717
17229,NoButton,Move,1091,716
17235,NoButton,Move,1096,716
17241,NoButton,Move,1100,715
17247,NoButton,Move,1105,715
17253,NoButton,Move,1109,715
17259,NoButton,Move,1114,715
17266,NoButton,Move,1118,715
17271,NoButton,Move,1122,715
17277,NoButton,Move,1125,715
17283,NoButton,Move,1126,715
17290,NoButton,Move,1127,715
17328,NoButton,Move,1128,715
17332,NoButton,Move,1129,715
17338,NoButton,Move,1130,715
17344,NoButton,Move,1131,715
17350,NoButton,Move,1133,716
17356,NoButton,Move,1134,717
17363,NoButton,Move,1136,717
17368,NoButton,Move,1138,718
17375,NoButton,Move,1139,718
17382,NoButton,Move,1139,719
17387,NoButton,Move,1140,719
17443,NoButton,Move,1140,720
17448,NoButton,Move,1140,721
17454,NoButton,Move,1140,722
17463,NoButton,Move,1140,723
17469,NoButton,Move,1140,724
17473,NoButton,Move,1140,725
17481,NoButton,Move,1140,726
17500,NoButton,Move,1140,727
17525,NoButton,Move,1140,728
17526,NoButton,Move,1139,728
17532,NoButton,Move,1139,729
17538,NoButton,Move,1137,729
17544,NoButton,Move,1136,729
17550,NoButton,Move,1135,730
17557,NoButton,Move,1133,730
17562,NoButton,Move,1131,730
17569,NoButton,Move,1129,730
17575,NoButton,Move,1126,730
17580,NoButton,Move,1123,730
17587,NoButton,Move,1119,730
17593,NoButton,Move,1114,730
17599,NoButton,Move,1108,730
17605,NoButton,Move,1101,729
17611,NoButton,Move,1090,727
17617,NoButton,Move,1079,727
17623,NoButton,Move,1065,725
17630,NoButton,Move,1049,724
17635,NoButton,Move,1032,724
17641,NoButton,Move,1016,722
17647,NoButton,Move,1002,722
17653,NoButton,Move,990,722
17660,NoButton,Move,980,722
17666,NoButton,Move,973,722
17672,NoButton,Move,969,722
17678,NoButton,Move,967,722
17683,NoButton,Move,965,722
17827,LeftButton,Pressed,965,722
17914,LeftButton,Released,965,722
22039,NoButton,Move,966,722
22043,NoButton,Move,967,722
22045,NoButton,Move,968,722
22048,NoButton,Move,970,722
22053,NoButton,Move,972,721
22060,NoButton,Move,982,719
22066,NoButton,Move,991,716
22072,NoButton,Move,1003,713
22077,NoButton,Move,1015,709
22083,NoButton,Move,1021,707
22090,NoButton,Move,1030,705
22096,NoButton,Move,1036,703
22102,NoButton,Move,1044,703
22108,NoButton,Move,1052,703
22114,NoButton,Move,1063,703
22120,NoButton,Move,1075,703
22127,NoButton,Move,1089,704
22133,NoButton,Move,1109,707
22138,NoButton,Move,1132,712
22142,NoButton,Move,1151,716
22144,NoButton,Move,1161,717
22150,NoButton,Move,1199,726
22157,NoButton,Move,1232,734
22163,NoButton,Move,1263,744
22169,NoButton,Move,1291,752
22175,NoButton,Move,1316,759
22180,NoButton,Move,1338,765
22187,NoButton,Move,1360,772
22193,NoButton,Move,1378,778
22198,NoButton,Move,1395,783
22205,NoButton,Move,1411,787
22211,NoButton,Move,1424,790
22217,NoButton,Move,1436,793
22223,NoButton,Move,1444,796
22229,NoButton,Move,1449,797
22235,NoButton,Move,1451,798
22285,NoButton,Move,1450,798
22289,NoButton,Move,1449,798
22290,NoButton,Move,1448,798
22295,NoButton,Move,1446,798
22302,NoButton,Move,1441,798
22308,NoButton,Move,1435,797
22314,NoButton,Move,1428,795
22320,NoButton,Move,1419,794
22326,NoButton,Move,1409,793
22332,NoButton,Move,1397,792
22338,NoButton,Move,1385,792
22345,NoButton,Move,1374,792
22350,NoButton,Move,1360,792
22356,NoButton,Move,1349,793
22362,NoButton,Move,1340,794
22368,NoButton,Move,1331,796
22374,NoButton,Move,1324,797
22381,NoButton,Move,1319,798
22387,NoButton,Move,1315,799
22393,NoButton,Move,1313,799
22398,NoButton,Move,1312,800
22409,NoButton,Move,1311,800
22411,NoButton,Move,1311,801
22417,NoButton,Move,1310,802
22423,NoButton,Move,1310,803
22429,NoButton,Move,1309,805
22435,NoButton,Move,1308,808
22441,NoButton,Move,1308,812
22447,NoButton,Move,1307,816
22453,NoButton,Move,1306,820
22460,NoButton,Move,1306,824
22466,NoButton,Move,1306,826
22471,NoButton,Move,1306,828
22478,NoButton,Move,1305,830
22483,NoButton,Move,1305,831
22489,NoButton,Move,1305,833
22495,NoButton,Move,1305,834
22502,NoButton,Move,1304,835
22508,NoButton,Move,1304,837
22514,NoButton,Move,1304,840
22520,NoButton,Move,1304,843
22526,NoButton,Move,1304,845
22532,NoButton,Move,1303,848
22539,NoButton,Move,1303,849
22544,NoButton,Move,1303,851
22550,NoButton,Move,1302,853
22557,NoButton,Move,1301,854
22562,NoButton,Move,1301,855
22569,NoButton,Move,1301,856
22580,NoButton,Move,1301,857
